Actual,FirstName,FreqInd,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_dfn,Projection_dfn_perturbed,Projection_fc,Projection_reg,Projection_reg_split,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
0.0,Ryan,1.0,Den@TB 04:05PM ET,7498702,Griffin,Ryan Griffin,Ryan Griffin (7498702),DEN,QB,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.130841121495,5000,TB,0.0,0.0
10.4,Paxton,1.0,Den@TB 04:05PM ET,7498705,Lynch,Paxton Lynch,Paxton Lynch (7498705),TB,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,DEN,0.0,0.0
-0.5,Drew,1.0,LA@Ari 04:25PM ET,7498707,Stanton,Drew Stanton,Drew Stanton (7498707),LA,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,ARI,0.0,0.0
19.0,Case,1.0,LA@Ari 04:25PM ET,7498708,Keenum,Case Keenum,Case Keenum (7498708),ARI,QB,10.67,11.4,11.4,10.31,10.5930628137,9.55217049073,0.0,0.0,5000,LA,0.0,0.0
0.0,Sean,1.0,LA@Ari 04:25PM ET,7498709,Mannion,Sean Mannion,Sean Mannion (7498709),ARI,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,LA,0.0,0.0
0.0,Jared,1.0,LA@Ari 04:25PM ET,7498710,Goff,Jared Goff,Jared Goff (7498710),ARI,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,LA,0.0,0.0
0.0,Kellen,1.0,NO@SD 04:25PM ET,7498712,Clemens,Kellen Clemens,Kellen Clemens (7498712),NO,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,SD,0.0,0.0
0.0,Luke,1.0,NO@SD 04:25PM ET,7498714,McCown,Luke McCown,Luke McCown (7498714),SD,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,NO,0.0,0.0
0.0,Mark,1.0,Dal@SF 04:25PM ET,7498716,Sanchez,Mark Sanchez,Mark Sanchez (7498716),SF,QB,0.0,1.8,1.8,0.0,1.2947925789,1.16384208277,0.0,0.0,5000,DAL,0.0,0.0
0.0,Colin,1.0,Dal@SF 04:25PM ET,7498717,Kaepernick,Colin Kaepernick,Colin Kaepernick (7498717),DAL,QB,0.0,1.4,1.4,0.0,1.0070608947,0.905210508824,0.0,0.0,5000,SF,0.0,0.0
