"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PG/SG","Tomas Satoransky",3100,"WAS@PHI 11/29/2017 07:00PM ET",7.6,"WAS","PHI",0,12.3,26.5
"PG/SG","Brandon Knight",3000,"PHO@DET 11/29/2017 07:00PM ET",0,"PHO","DET",0,0,0
"SF","Derrick Jones",3000,"PHO@DET 11/29/2017 07:00PM ET",4.417,"PHO","DET",0,0,0
"SG/SF","Davon Reed",3000,"PHO@DET 11/29/2017 07:00PM ET",0,"PHO","DET",0,0,0
"PG/SG","Langston Galloway",3000,"PHO@DET 11/29/2017 07:00PM ET",11,"DET","PHO",11.15,10.6,18.5
"PF/C","Henry Ellenson",3000,"PHO@DET 11/29/2017 07:00PM ET",11.708,"DET","PHO",0,0,8
"PF","Alec Peters",3000,"PHO@DET 11/29/2017 07:00PM ET",5.625,"PHO","DET",0,0,0
"SG/SF","Reggie Bullock",3000,"PHO@DET 11/29/2017 07:00PM ET",7.725,"DET","PHO",0,0,0
"PF/C","Eric Moreland",3000,"PHO@DET 11/29/2017 07:00PM ET",7.578,"DET","PHO",10.19,9.1,19.5
"C","Boban Marjanovic",3000,"PHO@DET 11/29/2017 07:00PM ET",10.25,"DET","PHO",0,0,4.75
"PF/C","Jon Leuer",3000,"PHO@DET 11/29/2017 07:00PM ET",11.813,"DET","PHO",0,0,0
"PG","Dwight Buycks",3000,"PHO@DET 11/29/2017 07:00PM ET",0,"DET","PHO",0,0,0
"SF","Luis Montero",3000,"PHO@DET 11/29/2017 07:00PM ET",0,"DET","PHO",0,0,0
"SF/PF","Kevon Looney",3000,"GS@LAL 11/29/2017 10:30PM ET",10.482,"GS","LAL",6.13,0,11
"PG","Quinn Cook",3000,"GS@LAL 11/29/2017 10:30PM ET",5.167,"GS","LAL",0,0,0
"C","JaVale McGee",3000,"GS@LAL 11/29/2017 10:30PM ET",9.092,"GS","LAL",11.59,12.8,0
"SG/SF","Corey Brewer",3000,"GS@LAL 11/29/2017 10:30PM ET",8.1,"LAL","GS",5.59,0,3.5
"SF/PF","Luol Deng",3000,"GS@LAL 11/29/2017 10:30PM ET",5,"LAL","GS",0,0,0
"C","Andrew Bogut",3000,"GS@LAL 11/29/2017 10:30PM ET",7.404,"LAL","GS",3.75,0,6
"PG/SG","Tyler Ennis",3000,"GS@LAL 11/29/2017 10:30PM ET",4.725,"LAL","GS",0,0,0
"PG/SG","Vander Blue",3000,"GS@LAL 11/29/2017 10:30PM ET",0.938,"LAL","GS",0,0,0
"PG/SG","Josh Hart",3000,"GS@LAL 11/29/2017 10:30PM ET",7.8,"LAL","GS",7.46,9.3,9.25
"PF","Chris Boucher",3000,"GS@LAL 11/29/2017 10:30PM ET",0,"GS","LAL",0,0,0
"C","Damian Jones",3000,"GS@LAL 11/29/2017 10:30PM ET",0,"GS","LAL",0,0,0
