"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"OF","Joey Rickard",3000,"Tor@Bal 03:05PM ET",5.059,"Bal"
"C/OF","Blake Swihart",3000,"Pit@Bos 02:05PM ET",5.947,"Bos"
"OF","Bryce Brentz",3000,"Pit@Bos 02:05PM ET",4.000,"Bos"
"C","Andrew Susac",3000,"Col@Mil 02:10PM ET",3.500,"Mil"
"SS","Pat Valaika",3000,"Col@Mil 02:10PM ET",2.615,"Col"
"OF","Kirk Nieuwenhuis",3000,"Col@Mil 02:10PM ET",5.280,"Mil"
"3B/OF","Adonis Garcia",3000,"Atl@NYM 01:10PM ET",6.910,"Atl"
"SS","Dansby Swanson",3000,"Atl@NYM 01:10PM ET",7.158,"Atl"
"2B","Scott Kingery",3000,"Phi@Cin 04:10PM ET",0,"Phi"
"OF","Tyler Goeddel",3000,"Phi@Cin 04:10PM ET",3.163,"Phi"
"OF","Trayce Thompson",3000,"SD@LAD 04:10PM ET",5.938,"LAD"
"OF","Alex Dickerson",3000,"SD@LAD 04:10PM ET",6.476,"SD"
"OF","Hunter Renfroe",3000,"SD@LAD 04:10PM ET",10.818,"SD"
"OF/SS","Danny Santana",2900,"KC@Min 04:10PM ET",5.120,"Min"
"2B/SS","Darwin Barney",2900,"Tor@Bal 03:05PM ET",4.144,"Tor"
"C","Sandy Leon",2900,"Pit@Bos 02:05PM ET",6.605,"Bos"
"C","Elias Diaz",2900,"Pit@Bos 02:05PM ET",2.000,"Pit"
"2B/3B","Phil Gosselin",2900,"Pit@Bos 02:05PM ET",2.877,"Pit"
"2B/3B","Marco Hernandez",2900,"Pit@Bos 02:05PM ET",2.405,"Bos"
"OF","Steve Selsky",2900,"Pit@Bos 02:05PM ET",4.458,"Bos"
"C","Tony Wolters",2900,"Col@Mil 02:10PM ET",5.577,"Col"
"C","Travis d'Arnaud",2900,"Atl@NYM 01:10PM ET",4.747,"NYM"
"2B/C","Austin Barnes",2900,"SD@LAD 04:10PM ET",1.696,"LAD"
"2B","Willie Calhoun",2900,"SD@LAD 04:10PM ET",0,"LAD"
"2B/3B","Cory Spangenberg",2900,"SD@LAD 04:10PM ET",6.429,"SD"
"OF","Andrew Toles",2900,"SD@LAD 04:10PM ET",4.847,"LAD"
"OF","Brian Goodwin",2900,"Mia@Was 01:05PM ET",2.826,"Was"
"C","Jason Castro",2800,"KC@Min 04:10PM ET",5.124,"Min"
"1B","Ryan O'Hearn",2800,"KC@Min 04:10PM ET",0,"KC"
"C","Alex Avila",2800,"Det@CWS 04:10PM ET",5.293,"Det"
"C","Juan Graterol",2800,"Tor@Bal 03:05PM ET",2.889,"Tor"
"C","Manny Pina",2800,"Col@Mil 02:10PM ET",3.879,"Mil"
"C","Jacob Nottingham",2800,"Col@Mil 02:10PM ET",0,"Mil"
"2B/3B","T.J. Rivera",2800,"Atl@NYM 01:10PM ET",6.000,"NYM"
"OF","Brandon Nimmo",2800,"Atl@NYM 01:10PM ET",3.719,"NYM"
"C","Devin Mesoraco",2800,"Phi@Cin 04:10PM ET",2.438,"Cin"
"2B/SS","Andres Blanco",2800,"Phi@Cin 04:10PM ET",3.856,"Phi"
"3B/OF","Rob Segedin",2800,"SD@LAD 04:10PM ET",3.300,"LAD"
"OF","Alex Verdugo",2800,"SD@LAD 04:10PM ET",0,"LAD"
"2B/SS","Stephen Drew",2800,"Mia@Was 01:05PM ET",4.392,"Was"
"OF","Destin Hood",2800,"Mia@Was 01:05PM ET",2.846,"Mia"
"SS","Eduardo Escobar",2700,"KC@Min 04:10PM ET",4.914,"Min"
"OF","Terrance Gore",2700,"KC@Min 04:10PM ET",3.941,"KC"
"C","James McCann",2700,"Det@CWS 04:10PM ET",5.171,"Det"
"2B/SS","Leury Garcia",2700,"Det@CWS 04:10PM ET",4.150,"CWS"
"3B/SS","JaCoby Jones",2700,"Det@CWS 04:10PM ET",2.615,"Det"
"3B/SS","Ryan Flaherty",2700,"Tor@Bal 03:05PM ET",3.284,"Bal"
"C","Christian Vazquez",2700,"Pit@Bos 02:05PM ET",4.158,"Bos"
"2B/3B","Josh Rutledge",2700,"Pit@Bos 02:05PM ET",3.464,"Bos"
"3B","Deven Marrero",2700,"Pit@Bos 02:05PM ET",0.538,"Bos"
"C","Jett Bandy",2700,"Col@Mil 02:10PM ET",5.029,"Mil"
"2B/SS","Cristhian Adames",2700,"Col@Mil 02:10PM ET",2.810,"Col"
"OF","Corey Ray",2700,"Col@Mil 02:10PM ET",0,"Mil"
"2B/3B","Jace Peterson",2700,"Atl@NYM 01:10PM ET",5.448,"Atl"
"C","Tucker Barnhart",2700,"Phi@Cin 04:10PM ET",5.487,"Cin"
"OF","Travis Jankowski",2700,"SD@LAD 04:10PM ET",5.069,"SD"
"C","Tomas Telis",2700,"Mia@Was 01:05PM ET",2.900,"Mia"
"2B/SS","Wilmer Difo",2700,"Mia@Was 01:05PM ET",4.061,"Was"
"OF","Ichiro Suzuki",2700,"Mia@Was 01:05PM ET",4.217,"Mia"
"2B/SS","Christian Colon",2600,"KC@Min 04:10PM ET",3.618,"KC"
"C","John Hicks",2600,"Det@CWS 04:10PM ET",7.000,"Det"
"2B/SS","Dixon Machado",2600,"Det@CWS 04:10PM ET",1.375,"Det"
"OF","Mikie Mahtook",2600,"Det@CWS 04:10PM ET",3.369,"Det"
"OF","Tyler Collins",2600,"Det@CWS 04:10PM ET",4.034,"Det"
"C","Caleb Joseph",2600,"Tor@Bal 03:05PM ET",2.102,"Bal"
