Actual,FirstName,FreqInd,GameInfo,ID,LastName,Name,Name...ID,Name.Clean,Opponent,Position,Projection,Projection_dfn,Projection_dfn_perturbed,Projection_fc,Projection_reg,Projection_reg_split,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
0.0,Zach,0.0,Cin@Pit 01:00PM ET,7395305,Mettenberger,Zach Mettenberger,Zach Mettenberger (7395305),Zach Mettenberger,CIN,QB,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5000,PIT,0.0,0.0
0.0,AJ,0.0,Cin@Pit 01:00PM ET,7395306,McCarron,AJ McCarron,AJ McCarron (7395306),AJ McCarron,PIT,QB,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5000,CIN,0.0,0.0
0.0,Jeff,0.0,Cin@Pit 01:00PM ET,7395307,Driskel,Jeff Driskel,Jeff Driskel (7395307),Jeff Driskel,PIT,QB,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5000,CIN,0.0,0.0
0.0,Markus,0.0,Cin@Pit 01:00PM ET,7395514,Wheaton,Markus Wheaton,Markus Wheaton (7395514),Markus Wheaton,CIN,WR,10.18,0.0,0.0,0.0,5.6689520464,,6.0,0.0,5000,PIT,0.0,0.0
0.0,Luke,0.0,NO@NYG 01:00PM ET,7395310,McCown,Luke McCown,Luke McCown (7395310),Luke McCown,NYG,QB,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5000,NO,0.0,0.0
0.0,Josh,0.0,NO@NYG 01:00PM ET,7395311,Johnson,Josh Johnson,Josh Johnson (7395311),Josh Johnson,NO,QB,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5000,NYG,0.0,0.0
0.0,Ryan,0.0,NO@NYG 01:00PM ET,7395312,Nassib,Ryan Nassib,Ryan Nassib (7395312),Ryan Nassib,NO,QB,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5000,NYG,0.0,0.0
0.0,Matt,0.0,Mia@NE 01:00PM ET,7395313,Moore,Matt Moore,Matt Moore (7395313),Matt Moore,NE,QB,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5000,MIA,0.0,0.0
0.0,Brandon,0.0,Mia@NE 01:00PM ET,7395316,Doughty,Brandon Doughty,Brandon Doughty (7395316),Brandon Doughty,NE,QB,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5000,MIA,0.0,0.0
4.9,Jacoby,0.0,Mia@NE 01:00PM ET,7395317,Brissett,Jacoby Brissett,Jacoby Brissett (7395317),Jacoby Brissett,MIA,QB,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5000,NE,0.0,0.0
0.0,Brandon,0.0,KC@Hou 01:00PM ET,7395319,Weeden,Brandon Weeden,Brandon Weeden (7395319),Brandon Weeden,KC,QB,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5000,HOU,0.0,0.0
0.0,Nick,0.0,KC@Hou 01:00PM ET,7395320,Foles,Nick Foles,Nick Foles (7395320),Nick Foles,HOU,QB,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5000,KC,0.0,0.0
0.0,Tom,0.0,KC@Hou 01:00PM ET,7395322,Savage,Tom Savage,Tom Savage (7395322),Tom Savage,KC,QB,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5000,HOU,0.0,0.0
0.0,Tyler,0.0,KC@Hou 01:00PM ET,7395323,Bray,Tyler Bray,Tyler Bray (7395323),Tyler Bray,HOU,QB,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5000,KC,0.0,0.0
