Actual,FirstName,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_dfn,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
32.5,Tyreek,KC@Den 08:30PM ET,7809893,Hill,Tyreek Hill,Tyreek Hill (7809893),DEN,WR,9.73,12.3,4.0,0.125,4800,KC,8.0,1.0
3.9,Cameron,Ten@Chi 01:00PM ET,7809775,Meredith,Cameron Meredith,Cameron Meredith (7809775),TEN,WR,11.46,10.7,3.0,0.145658263305,4700,CHI,10.0,1.0
9.3,Tevin,Ari@Atl 01:00PM ET,7809696,Coleman,Tevin Coleman,Tevin Coleman (7809696),ARI,RB,9.34,9.8,5.0,0.0681818181818,4700,ATL,5.0,0.0
9.4,DeVante,SF@Mia 01:00PM ET,7809845,Parker,DeVante Parker,DeVante Parker (7809845),SF,WR,12.35,11.8,2.0,0.1926910299,4700,MIA,8.0,1.0
11.0,Chris,NE@NYJ 04:25PM ET,7809899,Hogan,Chris Hogan,Chris Hogan (7809899),NYJ,WR,10.63,6.3,5.0,0.101744186047,4700,NE,0.0,1.0
0.0,Mike,Jax@Buf 01:00PM ET,7809675,Gillislee,Mike Gillislee,Mike Gillislee (7809675),JAX,RB,0.0,0.0,8.0,0.0364238410596,4600,BUF,0.0,0.0
6.8,Brandon,Cin@Bal 01:00PM ET,7809793,LaFell,Brandon LaFell,Brandon LaFell (7809793),BAL,WR,12.19,11.5,2.0,0.155313351499,4600,CIN,8.0,1.0
5.3,Bilal,NE@NYJ 04:25PM ET,7809761,Powell,Bilal Powell,Bilal Powell (7809761),NE,RB,7.49,8.8,3.0,0.134670487106,4600,NYJ,5.0,0.0
0.0,Jacquizz,Sea@TB 04:05PM ET,7809733,Rodgers,Jacquizz Rodgers,Jacquizz Rodgers (7809733),SEA,RB,0.0,0.0,8.0,0.0329113924051,4500,TB,0.0,0.0
5.6,Martellus,NE@NYJ 04:25PM ET,7809991,Bennett,Martellus Bennett,Martellus Bennett (7809991),NYJ,TE,10.52,6.4,3.0,0.15988372093,4500,NE,4.0,0.0
0.0,Robert,Jax@Buf 01:00PM ET,7809786,Woods,Robert Woods,Robert Woods (7809786),JAX,WR,0.0,0.0,1.0,0.211920529801,4400,BUF,0.0,1.0
6.2,James,NE@NYJ 04:25PM ET,7809765,White,James White,James White (7809765),NYJ,RB,7.43,9.2,2.0,0.171511627907,4400,NE,5.0,0.0
5.1,Michael,Ari@Atl 01:00PM ET,7809807,Floyd,Michael Floyd,Michael Floyd (7809807),ATL,WR,7.53,12.3,4.0,0.132387706856,4300,ARI,8.0,0.0
15.0,Mohamed,Ari@Atl 01:00PM ET,7809809,Sanu,Mohamed Sanu,Mohamed Sanu (7809809),ARI,WR,11.62,11.7,2.0,0.178977272727,4300,ATL,8.0,1.0
0.0,Alfred,SD@Hou 01:00PM ET,7809724,Blue,Alfred Blue,Alfred Blue (7809724),SD,RB,2.37,0.0,11.0,0.0109289617486,4300,HOU,0.0,0.0
12.5,Chris,Jax@Buf 01:00PM ET,7809673,Ivory,Chris Ivory,Chris Ivory (7809673),BUF,RB,10.67,5.8,7.0,0.0468384074941,4200,JAX,0.0,0.0
5.0,J.J.,Ari@Atl 01:00PM ET,7809811,Nelson,J.J. Nelson,J.J. Nelson (7809811),ATL,WR,7.38,10.9,5.0,0.0898345153664,4200,ARI,9.0,1.0
12.8,Corey,NYG@Cle 01:00PM ET,7809824,Coleman,Corey Coleman,Corey Coleman (7809824),NYG,WR,12.67,12.6,5.0,0.0925,4200,CLE,7.0,1.0
15.5,Tavon,LA@NO 01:00PM ET,7809829,Austin,Tavon Austin,Tavon Austin (7809829),NO,WR,9.88,11.6,2.0,0.21387283237,4200,LA,8.0,1.0
0.0,Antonio,SD@Hou 01:00PM ET,7809961,Gates,Antonio Gates,Antonio Gates (7809961),HOU,TE,12.96,10.2,4.0,0.152815013405,4200,SD,3.0,0.0
