"Name","teamAbbrev","Opponent","Game","Position","Salary","Proj_dfn","Proj_bbm","Proj_rotogrinders","Proj_rotowire","Batting_Order_Confirmed"
"Chris Carter","NYY","BAL","BAL NYY","1B",3700,"6.4","7.81","5.44","6.9","8"
"Jonathan Schoop","BAL","NYY","BAL NYY","2B",3700,"5.8","6.45","5.72","6.7","7"
"Chase Headley","NYY","BAL","BAL NYY","3B",3700,"6.8","7.54","7.32","6.1","6"
"Brett Gardner","NYY","BAL","BAL NYY","OF",3700,"6.7","1.79","5.99","6.8","1"
"Marcell Ozuna","MIA","PIT","MIA PIT","OF",3700,"7.3","7.34","6.98","6.2","5"
"Jay Bruce","NYM","WAS","NYM WAS","1B/OF",3700,"8.2","7.76","6.96","7.4","3"
"Neil Walker","NYM","WAS","NYM WAS","2B",3700,"7.8","7.22","6.82","6.7","4"
"Victor Martinez","DET","CWS","CWS DET","1B",3600,"6.2","7.55","7.25","6.6","4"
"Lonnie Chisenhall","CLE","SEA","CLE SEA","OF",3600,"7.9","7.29","6.48","5.4","7"
"Abraham Almonte","CLE","SEA","CLE SEA","OF",3600,"7.5","6.87","5.34","3.4","8"
"Kennys Vargas","MIN","KC","KC MIN","1B",3600,"7.0","1.57","0","1.5","5"
"Alex Gordon","KC","MIN","KC MIN","OF",3600,"5.9","6.63","6.37","6.2","6"
"Kendrys Morales","TOR","TB","TB TOR","1B",3600,"7.7","7.24","6.69","7.3","3"
